"OWNER","TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_LENGTH","NULLABLE"
"CTP_AUTZ","ATZD_ATTRIBUTEDOMAINS","ATTRIBUTECODORGTYPE","VARCHAR2",255,"N"
"CTP_AUTZ","ATZD_ATTRIBUTEDOMAINS","ATTRIBUTEUID","RAW",16,"N"
"CTP_AUTZ","ATZD_ATTRIBUTEDOMAINS","ATTRIBUTENAME","VARCHAR2",255,"N"
"CTP_AUTZ","ATZD_ATTRIBUTEDOMAINS","ATTRIBUTEDESCRIPTION","VARCHAR2",2000,"Y"
"CTP_AUTZ","ATZD_ATTRIBUTEDOMAINS","ATTRIBUTEPATTERN","VARCHAR2",2000,"Y"
"CTP_AUTZ","ATZD_ATTRIBUTEDOMAINS","ATTRIBUTEEXTERNAL","RAW",1,"N"
"CTP_AUTZ","ATZD_ATTRIBUTEDOMAINS","ATTRIBUTEREQUIRED","RAW",1,"N"
"CTP_AUTZ","ATZD_ATTRIBUTEDOMAINS","ATTRIBUTEORDER","NUMBER",22,"N"
"CTP_AUTZ","ATZD_ATTRIBUTEDOMAINS","ATTRIBUTEDEFAULT","VARCHAR2",255,"Y"
"CTP_AUTZ","ATZD_ATTRIBUTEDOMAINS","ATTRIBUTEENABLED","RAW",1,"N"
"CTP_AUTZ","ATZD_ATTRIBUTEDOMAINS","ATTRIBUTECUSTOM","RAW",1,"N"
"CTP_AUTZ","ATZD_ATTRIBUTEDOMAINS","ATTRIBUTETYPE","VARCHAR2",255,"N"
"CTP_AUTZ","ATZD_CHANNELS","CODCHANNEL","VARCHAR2",4,"N"
"CTP_AUTZ","ATZD_CHANNELS","DESCHANNEL","VARCHAR2",2000,"N"
"CTP_AUTZ","ATZD_ORGANIZATIONTYPES","CODORGANIZATIONTYPE","VARCHAR2",255,"N"
"CTP_AUTZ","ATZD_ORGANIZATIONTYPES","DESORGANIZATIONTYPE","VARCHAR2",2000,"N"
"CTP_AUTZ","ATZD_ORGANIZATIONTYPES","VERSIONORGANIZATIONTYPE","VARCHAR2",255,"Y"
"CTP_AUTZ","ATZD_ORGANIZATIONTYPES","XMLPREFIXORGANIZATIONTYPE","VARCHAR2",255,"Y"
"CTP_AUTZ","ATZD_ORGANIZATIONTYPES","CODHIERARCHYTYPE","VARCHAR2",255,"N"
"CTP_AUTZ","ATZD_RELATIONTYPES","UIDRELATIONTYPE","RAW",16,"N"
"CTP_AUTZ","ATZD_RELATIONTYPES","DESRELATIONTYPE","VARCHAR2",2000,"N"
"CTP_AUTZ","ATZD_RELATIONTYPES","CODORGANIZATIONTYPE","VARCHAR2",255,"N"
"CTP_AUTZ","ATZD_RELATIONTYPES","CODORGANIZATIONPARENTTYPE","VARCHAR2",255,"Y"
"CTP_AUTZ","ATZD_RESOURCETYPES","CODRESOURCETYPE","VARCHAR2",255,"N"
"CTP_AUTZ","ATZD_RESOURCETYPES","DESRESOURCETYPE","VARCHAR2",2000,"N"
"CTP_AUTZ","ATZE_ATTRIBUTEVALUES","ATTRIBUTEUID","RAW",16,"N"
"CTP_AUTZ","ATZE_ATTRIBUTEVALUES","UIDORGANIZATION","RAW",16,"N"
"CTP_AUTZ","ATZE_ATTRIBUTEVALUES","ATTRIBUTEVALUE","VARCHAR2",255,"Y"
"CTP_AUTZ","ATZE_AUTHORIZATIONS","CODCHANNEL","VARCHAR2",1,"N"
"CTP_AUTZ","ATZE_AUTHORIZATIONS","UIDORGANIZATION","RAW",16,"N"
"CTP_AUTZ","ATZE_AUTHORIZATIONS","CODROLE","VARCHAR2",255,"N"
"CTP_AUTZ","ATZE_AUTHORIZATIONS","ROWTIMESTAMP","TIMESTAMP(6)",11,"N"
"CTP_AUTZ","ATZE_AUTHORIZATIONS","DATENDVALIDITY","DATE",7,"N"
"CTP_AUTZ","ATZE_AUTHORIZATIONS","DATSTARTVALIDITY","DATE",7,"N"
"CTP_AUTZ","ATZE_LOGINS","UIDORGANIZATION","RAW",16,"N"
"CTP_AUTZ","ATZE_LOGINS","FLGAUTHREQ","RAW",1,"N"
"CTP_AUTZ","ATZE_LOGINS","LASTLOGON","DATE",7,"Y"
"CTP_AUTZ","ATZE_LOGINS","CODUSERCULTURE","VARCHAR2",6,"N"
"CTP_AUTZ","ATZE_LOGINS","CODCHANNEL","VARCHAR2",1,"N"
"CTP_AUTZ","ATZE_LOGINS","CODUSER","VARCHAR2",255,"N"
"CTP_AUTZ","ATZE_ORGANIZATIONS","DATSTARTVALIDITY","DATE",7,"N"
"CTP_AUTZ","ATZE_ORGANIZATIONS","FLGINHERITAUTHORIZATION","RAW",1,"N"
"CTP_AUTZ","ATZE_ORGANIZATIONS","FULLNAME","VARCHAR2",4000,"N"
"CTP_AUTZ","ATZE_ORGANIZATIONS","CODORGANIZATIONTYPE","VARCHAR2",255,"N"
"CTP_AUTZ","ATZE_ORGANIZATIONS","CODORGANIZATION","VARCHAR2",255,"N"
"CTP_AUTZ","ATZE_ORGANIZATIONS","UIDORGANIZATIONPARENT","RAW",16,"Y"
"CTP_AUTZ","ATZE_ORGANIZATIONS","UIDORGANIZATION","RAW",16,"N"
"CTP_AUTZ","ATZE_ORGANIZATIONS","DATENDVALIDITY","DATE",7,"N"
"CTP_AUTZ","ATZE_ORGANIZATIONS","UIDORGFULLNAME","VARCHAR2",4000,"Y"
"CTP_AUTZ","ATZE_ORGANIZATIONS","ROWTIMESTAMP","TIMESTAMP(6)",11,"N"
"CTP_AUTZ","ATZE_ORGANIZATIONS","UIDRELATIONTYPE","RAW",16,"N"
"CTP_AUTZ","ATZE_ORGANIZATIONS","FLGENABLED","RAW",1,"N"
"CTP_AUTZ","ATZE_RESOURCES","ROWTIMESTAMP","TIMESTAMP(6)",11,"N"
"CTP_AUTZ","ATZE_RESOURCES","CODRESOURCETYPE","VARCHAR2",255,"N"
"CTP_AUTZ","ATZE_RESOURCES","DESRESOURCE","VARCHAR2",2000,"N"
"CTP_AUTZ","ATZE_RESOURCES","FLGENABLED","RAW",1,"N"
"CTP_AUTZ","ATZE_RESOURCES","CODRESOURCE","VARCHAR2",255,"N"
"CTP_AUTZ","ATZE_ROLES","FLGENABLED","RAW",1,"N"
"CTP_AUTZ","ATZE_ROLES","DESROLE","VARCHAR2",2000,"N"
"CTP_AUTZ","ATZE_ROLES","ROWTIMESTAMP","TIMESTAMP(6)",11,"N"
"CTP_AUTZ","ATZE_ROLES","CODROLE","VARCHAR2",255,"N"
"CTP_AUTZ","ATZE_ROLESRESOURCES","CODROLE","VARCHAR2",255,"N"
"CTP_AUTZ","ATZE_ROLESRESOURCES","CODRESOURCE","VARCHAR2",255,"N"
"CTP_AUTZ","ATZE_ROLESRESOURCES","CODCHANNEL","VARCHAR2",1,"N"
"CTP_AUTZ","ATZE_ROLESROLES","CODROLE","VARCHAR2",255,"N"
"CTP_AUTZ","ATZE_ROLESROLES","CODROLEPARENT","VARCHAR2",255,"N"
"CB","CBAGUARANTEESETLINKS","DATTCINSERTIONDATE","TIMESTAMP(6)",11,"N"
"CB","CBAGUARANTEESETLINKS","UIDGUARANTEEID","RAW",16,"N"
"CB","CBAGUARANTEESETLINKS","UIDGUARANTEESETID","RAW",16,"N"
"CB","CBAGUARANTEESETLINKS","CODTCLASTUPDATEUSERFULLNAME","VARCHAR2",2000,"Y"
"CB","CBAGUARANTEESETLINKS","CODTCLASTUPDATESOURCE","VARCHAR2",200,"Y"
"CB","CBAGUARANTEESETLINKS","DATTCLASTUPDATEDATE","TIMESTAMP(6)",11,"Y"
"CB","CBAGUARANTEESETLINKS","CODTCINSERTIONUSERFULLNAME","VARCHAR2",2000,"N"
"CB","CBAGUARANTEESETLINKS","CODTCINSERTIONSOURCE","VARCHAR2",200,"N"
"CB","CBASUBJECTADDITIONALINFO","DATTCINSERTIONDATE","TIMESTAMP(6)",11,"N"
"CB","CBASUBJECTADDITIONALINFO","CODTCINSERTIONSOURCE","VARCHAR2",200,"N"
"CB","CBASUBJECTADDITIONALINFO","CODTCINSERTIONUSERFULLNAME","VARCHAR2",2000,"N"
"CB","CBASUBJECTADDITIONALINFO","DATLOGICALSTATUSCODEDATE","DATE",7,"Y"
"CB","CBASUBJECTADDITIONALINFO","CODLOGICALSTATUSCODE","VARCHAR2",4,"Y"
"CB","CBASUBJECTADDITIONALINFO","FLGCURRENT","NUMBER",22,"N"
"CB","CBASUBJECTADDITIONALINFO","DATLASTREFERENCEDATE","DATE",7,"N"
"CB","CBASUBJECTADDITIONALINFO","DATFIRSTREFERENCEDATE","DATE",7,"N"
"CB","CBASUBJECTADDITIONALINFO","UIDSUBJECTID","RAW",16,"N"
"CB","CBASUBJECTADDITIONALINFO","UIDADDITIONALINFOID","RAW",16,"N"
"CB","CBASUBJECTADDITIONALINFO","UIDSUBJECTADDITIONALINFOID","RAW",16,"N"
"CB","CBASUBJECTADDITIONALINFO","DATTCLASTUPDATEDATE","TIMESTAMP(6)",11,"Y"
"CB","CBASUBJECTADDITIONALINFO","CODTCLASTUPDATEUSERFULLNAME","VARCHAR2",2000,"Y"
"CB","CBASUBJECTADDITIONALINFO","CODTCLASTUPDATESOURCE","VARCHAR2",200,"Y"
"CB","CBASUBJECTCONTRACTS","UIDSUBJECTCONTRACTID","RAW",16,"N"
"CB","CBASUBJECTCONTRACTS","CODTCLASTUPDATEUSERFULLNAME","VARCHAR2",2000,"Y"
"CB","CBASUBJECTCONTRACTS","UIDSUBJECTID","RAW",16,"N"
"CB","CBASUBJECTCONTRACTS","CODSUBJECTROLECODE","VARCHAR2",4,"N"
"CB","CBASUBJECTCONTRACTS","FLGONLINESOURCE","NUMBER",22,"N"
"CB","CBASUBJECTCONTRACTS","FLGBATCHSOURCE","NUMBER",22,"N"
"CB","CBASUBJECTCONTRACTS","DATFIRSTREFERENCEDATE","DATE",7,"N"
"CB","CBASUBJECTCONTRACTS","DATLASTREFERENCEDATE","DATE",7,"N"
"CB","CBASUBJECTCONTRACTS","FLGCURRENT","NUMBER",22,"N"
"CB","CBASUBJECTCONTRACTS","CODLOGICALSTATUSCODE","VARCHAR2",4,"Y"
"CB","CBASUBJECTCONTRACTS","DATLOGICALSTATUSCODEDATE","DATE",7,"Y"
"CB","CBASUBJECTCONTRACTS","DATTCINSERTIONDATE","TIMESTAMP(6)",11,"N"
"CB","CBASUBJECTCONTRACTS","CODTCINSERTIONSOURCE","VARCHAR2",200,"N"
"CB","CBASUBJECTCONTRACTS","CODTCINSERTIONUSERFULLNAME","VARCHAR2",2000,"N"
"CB","CBASUBJECTCONTRACTS","CODTCLASTUPDATESOURCE","VARCHAR2",200,"Y"
"CB","CBASUBJECTCONTRACTS","DATTCLASTUPDATEDATE","TIMESTAMP(6)",11,"Y"
"CB","CBASUBJECTCONTRACTS","UIDCONTRACTID","RAW",16,"N"
"CB","CBB_ACCT_ACCT_FLOW_ERROR","ERRORCATEGORY","VARCHAR2",4000,"Y"
"CB","CBB_ACCT_ACCT_FLOW_ERROR","ERRORCODE","VARCHAR2",4000,"Y"
"CB","CBB_ACCT_ACCT_FLOW_ERROR","STAGEID","VARCHAR2",256,"N"
"CB","CBB_ACCT_ACCT_FLOW_ERROR","RECORDUID","RAW",16,"N"
"CB","CBB_ACCT_ACCT_FLOW_ERROR","PHASEID","VARCHAR2",1020,"N"
"CB","CBB_ACCT_ACCT_FLOW_ERROR","PHASEUID","RAW",16,"N"
"CB","CBB_ACCT_ACCT_FLOW_ERROR","FLOWID","VARCHAR2",1020,"N"
"CB","CBB_ACCT_ACCT_FLOW_ERROR","FLOWUID","RAW",16,"N"
"CB","CBB_ACCT_ACCT_FLOW_ERROR","ERRORUID","RAW",16,"N"
"CB","CBB_ACCT_ACCT_FLOW_ERROR","ERRORTIMESTAMP","TIMESTAMP(6)",11,"N"
"CB","CBB_ACCT_ACCT_FLOW_ERROR","ERRORROWNUMBER","NUMBER",22,"Y"
"CB","CBB_ACCT_ACCT_FLOW_ERROR","ERRORDESCRIPTION","VARCHAR2",4000,"Y"
"CB","CBB_ARCH_ARCH_FLOW_ERROR","ERRORUID","RAW",16,"N"
"CB","CBB_ARCH_ARCH_FLOW_ERROR","ERRORROWNUMBER","NUMBER",22,"Y"
"CB","CBB_ARCH_ARCH_FLOW_ERROR","ERRORDESCRIPTION","VARCHAR2",4000,"Y"
"CB","CBB_ARCH_ARCH_FLOW_ERROR","ERRORCODE","VARCHAR2",4000,"Y"
"CB","CBB_ARCH_ARCH_FLOW_ERROR","ERRORCATEGORY","VARCHAR2",4000,"Y"
"CB","CBB_ARCH_ARCH_FLOW_ERROR","ERRORTIMESTAMP","TIMESTAMP(6)",11,"N"
"CB","CBB_ARCH_ARCH_FLOW_ERROR","RECORDUID","RAW",16,"N"
"CB","CBB_ARCH_ARCH_FLOW_ERROR","PHASEID","VARCHAR2",1020,"N"
"CB","CBB_ARCH_ARCH_FLOW_ERROR","PHASEUID","RAW",16,"N"
"CB","CBB_ARCH_ARCH_FLOW_ERROR","FLOWID","VARCHAR2",1020,"N"
"CB","CBB_ARCH_ARCH_FLOW_ERROR","FLOWUID","RAW",16,"N"
