RECORD_TYPE,MEMBER_LOAN_ACCOUNT_NUMBER,CHARGE_SEQUENCE,CHARGE_TYPE,CHARGE_AMOUNT,CHARGE_REGISTRATION_DATE,CHARGE_REGISTRATION_NUMBER,CHARGE_STATUS,CHARGE_RELEASE_DATE,PRIOR_CHARGE_EXISTS,PRIOR_CHARGE_HOLDER_NAME
MORTGAGE_CHARGE,ABC-HL-0001,1,SECOND_CHARGE,2674269.95,,,ACTIVE,,Y,XYZ National Bank
MORTGAGE_CHARGE,ABC-HL-0002,1,REGISTERED_MORTGAGE,43911663.11,2020-05-24,CHG/2020/60002,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0003,1,EQUITABLE_MORTGAGE,11376913.69,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0004,1,PARI_PASSU,15177452.02,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0004,2,PARI_PASSU,7588726.01,2022-08-15,CHG-PARI/2022/60004,ACTIVE,,Y,PQR Housing Finance Ltd
MORTGAGE_CHARGE,ABC-HL-0005,1,FIRST_CHARGE,32728578.77,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0006,1,SECOND_CHARGE,29466454.08,,,ACTIVE,,Y,XYZ National Bank
MORTGAGE_CHARGE,ABC-HL-0007,1,REGISTERED_MORTGAGE,11233855.68,2018-10-14,CHG/2018/60007,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0008,1,EQUITABLE_MORTGAGE,19471304.95,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0009,1,PARI_PASSU,14696326.06,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0010,1,FIRST_CHARGE,25538269.32,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0011,1,SECOND_CHARGE,21405212.00,,,ACTIVE,,Y,XYZ National Bank
MORTGAGE_CHARGE,ABC-HL-0012,1,REGISTERED_MORTGAGE,9908032.78,2023-04-05,CHG/2023/60012,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0013,1,EQUITABLE_MORTGAGE,18120863.04,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0014,1,PARI_PASSU,24284178.12,,,RELEASED,2026-03-31,N,
MORTGAGE_CHARGE,ABC-HL-0015,1,FIRST_CHARGE,43918473.23,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0016,1,SECOND_CHARGE,39994463.27,,,ACTIVE,,Y,XYZ National Bank
MORTGAGE_CHARGE,ABC-HL-0017,1,REGISTERED_MORTGAGE,28599305.45,2021-07-25,CHG/2021/60017,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0018,1,EQUITABLE_MORTGAGE,35732810.11,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0019,1,PARI_PASSU,8996459.95,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0020,1,FIRST_CHARGE,39769703.84,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0021,1,SECOND_CHARGE,23883304.92,,,ACTIVE,,Y,XYZ National Bank
MORTGAGE_CHARGE,ABC-HL-0022,1,REGISTERED_MORTGAGE,44007037.00,2020-01-22,CHG/2020/60022,RELEASED,2026-03-31,N,
MORTGAGE_CHARGE,ABC-HL-0023,1,EQUITABLE_MORTGAGE,26082680.51,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0024,1,PARI_PASSU,41238311.58,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0024,2,PARI_PASSU,20619155.79,2021-05-06,CHG-PARI/2021/60024,ACTIVE,,Y,PQR Housing Finance Ltd
MORTGAGE_CHARGE,ABC-HL-0025,1,FIRST_CHARGE,5520384.05,,,ACTIVE,,N,
MORTGAGE_CHARGE,ABC-HL-0026,1,SECOND_CHARGE,36297269.99,,,ACTIVE,,Y,XYZ National Bank
