RECORD_TYPE,MEMBER_PROPERTY_REFERENCE,VALUATION_SEQUENCE,VALUATION_DATE,VALUATION_AMOUNT,VALUATION_TYPE,VALUATOR_NAME,IS_LATEST_VALUATION
VALUATION,ABC-COL-0001,1,2025-02-15,3922494.50,BOOK_VALUE,Knight Frank India Pvt Ltd,Y
VALUATION,ABC-COL-0002,1,2025-03-15,55574903.00,MARKET_VALUE,Anarock Property Consultants,Y
VALUATION,ABC-COL-0003,1,2025-04-15,16318919.96,DISTRESS_VALUE,Cushman & Wakefield,Y
VALUATION,ABC-COL-0004,1,2025-05-15,18866948.67,BOOK_VALUE,CBRE South Asia Pvt Ltd,Y
VALUATION,ABC-COL-0005,1,2025-06-15,47671330.67,MARKET_VALUE,Cushman & Wakefield,Y
VALUATION,ABC-COL-0006,1,2025-07-15,39101971.66,DISTRESS_VALUE,Knight Frank India Pvt Ltd,Y
VALUATION,ABC-COL-0007,1,2025-08-15,16155619.24,DISTRESS_VALUE,Cushman & Wakefield,Y
VALUATION,ABC-COL-0008,1,2025-09-15,30074249.98,DISTRESS_VALUE,Anarock Property Consultants,Y
VALUATION,ABC-COL-0009,1,2025-10-15,18228869.51,FAIR_VALUE,HFFC Approved Valuers Panel,Y
VALUATION,ABC-COL-0010,1,2025-11-15,31133724.66,BOOK_VALUE,HFFC Approved Valuers Panel,Y
VALUATION,ABC-COL-0011,1,2025-12-15,31559646.48,BOOK_VALUE,Cushman & Wakefield,Y
VALUATION,ABC-COL-0012,1,2025-01-15,12654230.65,DISTRESS_VALUE,Cushman & Wakefield,Y
VALUATION,ABC-COL-0013,1,2025-02-15,22959673.27,MARKET_VALUE,CBRE South Asia Pvt Ltd,Y
VALUATION,ABC-COL-0014,1,2025-03-15,32217138.14,FAIR_VALUE,Cushman & Wakefield,Y
VALUATION,ABC-COL-0015,1,2025-04-15,59093038.49,FAIR_VALUE,Anarock Property Consultants,Y
VALUATION,ABC-COL-0016,1,2025-05-15,53243590.14,DISTRESS_VALUE,Anarock Property Consultants,Y
VALUATION,ABC-COL-0017,1,2025-06-15,35807857.38,DISTRESS_VALUE,Knight Frank India Pvt Ltd,Y
VALUATION,ABC-COL-0018,1,2025-07-15,44752979.59,DISTRESS_VALUE,Cushman & Wakefield,Y
VALUATION,ABC-COL-0019,1,2025-08-15,11549532.36,FAIR_VALUE,HFFC Approved Valuers Panel,Y
VALUATION,ABC-COL-0020,1,2025-09-15,48564340.03,MARKET_VALUE,Anarock Property Consultants,Y
VALUATION,ABC-COL-0021,1,2025-10-15,28561603.36,BOOK_VALUE,Anarock Property Consultants,Y
VALUATION,ABC-COL-0022,1,2025-11-15,67433580.34,MARKET_VALUE,CBRE South Asia Pvt Ltd,Y
VALUATION,ABC-COL-0023,1,2025-12-15,38311251.07,MARKET_VALUE,HFFC Approved Valuers Panel,Y
VALUATION,ABC-COL-0024,1,2025-01-15,61824452.82,BOOK_VALUE,HFFC Approved Valuers Panel,Y
VALUATION,ABC-COL-0025,1,2025-02-15,6439412.05,MARKET_VALUE,CBRE South Asia Pvt Ltd,Y
VALUATION,ABC-COL-0026,1,2025-03-15,50075229.97,BOOK_VALUE,Knight Frank India Pvt Ltd,Y
VALUATION,ABC-COL-0027,1,2025-04-15,24889410.29,MARKET_VALUE,HFFC Approved Valuers Panel,Y
VALUATION,ABC-COL-0028,1,2025-05-15,20599335.00,DISTRESS_VALUE,Knight Frank India Pvt Ltd,Y
VALUATION,ABC-COL-0029,1,2025-06-15,8939549.95,MARKET_VALUE,CBRE South Asia Pvt Ltd,Y
VALUATION,ABC-COL-0030,1,2025-07-15,15924979.16,MARKET_VALUE,CBRE South Asia Pvt Ltd,Y
VALUATION,ABC-COL-0031,1,2025-08-15,52792690.18,BOOK_VALUE,Cushman & Wakefield,Y
VALUATION,ABC-COL-0032,1,2025-09-15,33333593.30,MARKET_VALUE,Anarock Property Consultants,Y
VALUATION,ABC-COL-0033,1,2025-10-15,15979961.66,BOOK_VALUE,Cushman & Wakefield,Y
VALUATION,ABC-COL-0034,1,2025-11-15,30520322.68,DISTRESS_VALUE,Knight Frank India Pvt Ltd,Y
VALUATION,ABC-COL-0035,1,2025-12-15,66019040.03,BOOK_VALUE,Knight Frank India Pvt Ltd,Y
VALUATION,ABC-COL-0036,1,2025-01-15,4254784.76,FAIR_VALUE,Knight Frank India Pvt Ltd,Y
VALUATION,ABC-COL-0037,1,2025-02-15,60570614.00,MARKET_VALUE,Knight Frank India Pvt Ltd,Y
VALUATION,ABC-COL-0038,1,2025-03-15,51831734.17,MARKET_VALUE,HFFC Approved Valuers Panel,Y
VALUATION,ABC-COL-0039,1,2025-04-15,22340124.56,BOOK_VALUE,Knight Frank India Pvt Ltd,Y
VALUATION,ABC-COL-0040,1,2025-05-15,53116283.00,FAIR_VALUE,CBRE South Asia Pvt Ltd,Y
VALUATION,ABC-COL-0041,1,2025-06-15,17952204.32,MARKET_VALUE,Anarock Property Consultants,Y
VALUATION,ABC-COL-0042,1,2025-07-15,5478863.23,BOOK_VALUE,Anarock Property Consultants,Y
VALUATION,ABC-COL-0043,1,2025-08-15,39101570.76,DISTRESS_VALUE,Cushman & Wakefield,Y
VALUATION,ABC-COL-0044,1,2025-09-15,35878729.50,BOOK_VALUE,CBRE South Asia Pvt Ltd,Y
VALUATION,ABC-COL-0045,1,2025-10-15,40347251.63,DISTRESS_VALUE,Knight Frank India Pvt Ltd,Y
VALUATION,ABC-COL-0046,1,2025-11-15,37931651.05,DISTRESS_VALUE,CBRE South Asia Pvt Ltd,Y
VALUATION,ABC-COL-0047,1,2025-12-15,22370579.44,FAIR_VALUE,Cushman & Wakefield,Y
VALUATION,ABC-COL-0048,1,2025-01-15,34950146.30,FAIR_VALUE,Anarock Property Consultants,Y
VALUATION,ABC-COL-0049,1,2025-02-15,44437342.76,MARKET_VALUE,Knight Frank India Pvt Ltd,Y
VALUATION,ABC-COL-0050,1,2025-03-15,39946459.21,BOOK_VALUE,Knight Frank India Pvt Ltd,Y
VALUATION,ABC-COL-0051,1,2025-04-15,17317540.44,DISTRESS_VALUE,Knight Frank India Pvt Ltd,Y
VALUATION,ABC-COL-0052,1,2025-05-15,19398841.33,FAIR_VALUE,HFFC Approved Valuers Panel,Y
VALUATION,ABC-COL-0053,1,2025-06-15,51542208.94,DISTRESS_VALUE,Anarock Property Consultants,Y
VALUATION,ABC-COL-0054,1,2025-07-15,8138158.78,MARKET_VALUE,Cushman & Wakefield,Y
VALUATION,ABC-COL-0055,1,2025-08-15,52733782.66,BOOK_VALUE,Knight Frank India Pvt Ltd,Y
VALUATION,ABC-COL-0056,1,2025-09-15,37533362.96,DISTRESS_VALUE,CBRE South Asia Pvt Ltd,Y
VALUATION,ABC-COL-0057,1,2025-10-15,12378017.19,BOOK_VALUE,HFFC Approved Valuers Panel,Y
VALUATION,ABC-COL-0058,1,2025-11-15,40134589.95,MARKET_VALUE,Anarock Property Consultants,Y
VALUATION,ABC-COL-0059,1,2025-12-15,14057160.93,BOOK_VALUE,Knight Frank India Pvt Ltd,Y
VALUATION,ABC-COL-0060,1,2025-01-15,52793922.07,MARKET_VALUE,Anarock Property Consultants,Y
VALUATION,ABC-COL-0061,1,2025-02-15,54672721.35,MARKET_VALUE,CBRE South Asia Pvt Ltd,Y
VALUATION,ABC-COL-0062,1,2025-03-15,43967520.82,DISTRESS_VALUE,Anarock Property Consultants,Y
VALUATION,ABC-COL-0063,1,2025-04-15,4321684.19,BOOK_VALUE,Anarock Property Consultants,Y
VALUATION,ABC-COL-0064,1,2025-05-15,8721290.63,BOOK_VALUE,HFFC Approved Valuers Panel,Y
VALUATION,ABC-COL-0065,1,2025-06-15,5231731.27,DISTRESS_VALUE,CBRE South Asia Pvt Ltd,Y
VALUATION,ABC-COL-0066,1,2025-07-15,30819428.28,FAIR_VALUE,CBRE South Asia Pvt Ltd,Y
VALUATION,ABC-COL-0067,1,2025-08-15,18403477.60,MARKET_VALUE,CBRE South Asia Pvt Ltd,Y
VALUATION,ABC-COL-0068,1,2025-09-15,27062526.55,FAIR_VALUE,Knight Frank India Pvt Ltd,Y
