RECORD_TYPE,MEMBER_PROPERTY_REFERENCE,TITLE_DEED_AVAILABILITY,SALE_DEED_AVAILABILITY,ENCUMBRANCE_CERTIFICATE_AVAILABILITY,OCCUPANCY_CERTIFICATE_AVAILABILITY,APPROVED_PLAN_AVAILABILITY,LAST_DOCUMENT_REVIEW_DATE
DOCUMENT_STATUS,ABC-COL-0001,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0002,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,NOT_APPLICABLE,2026-03-15
DOCUMENT_STATUS,ABC-COL-0003,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,AVAILABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0004,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,NOT_AVAILABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0005,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-03-15
DOCUMENT_STATUS,ABC-COL-0006,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0007,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_AVAILABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0008,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,PENDING,2026-03-15
DOCUMENT_STATUS,ABC-COL-0009,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,AVAILABLE,AVAILABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0010,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0011,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,PENDING,2026-03-15
DOCUMENT_STATUS,ABC-COL-0012,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,AVAILABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0013,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_APPLICABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0014,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,2026-03-15
DOCUMENT_STATUS,ABC-COL-0015,NOT_APPLICABLE,AVAILABLE,NOT_AVAILABLE,PENDING,AVAILABLE,2026-01-15
DOCUMENT_STATUS,ABC-COL-0016,AVAILABLE,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,NOT_AVAILABLE,2026-02-15
DOCUMENT_STATUS,ABC-COL-0017,NOT_AVAILABLE,PENDING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-03-15
DOCUMENT_STATUS,ABC-COL-0018,PENDING,NOT_APPLICABLE,AVAILABLE,NOT_APPLICABLE,NOT_APPLICABLE,2026-01-15
